City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Buala,SB,-8.145,159.5921,86.52,62,85,2.75,overcast clouds
81,Hilo,US,19.7297,-155.09,81.28,81,90,5.75,light rain
82,Makakilo City,US,21.3469,-158.0858,80.92,64,90,8.05,overcast clouds
83,Gamba,GA,-2.65,10.0,75.96,83,100,6.96,overcast clouds
84,Alekseyevskaya,RU,50.2896,42.1845,49.39,71,99,5.59,overcast clouds
85,Putnok,HU,48.3,20.4333,40.87,81,22,1.88,few clouds
86,Dikson,RU,73.5069,80.5464,31.15,99,100,6.06,light snow
87,Westport,US,41.1415,-73.3579,57.18,85,40,1.01,scattered clouds
88,Neiafu,TO,-18.65,-173.9833,83.08,74,40,9.22,scattered clouds
89,Nikolskoye,RU,59.7035,30.7861,40.01,78,35,11.03,scattered clouds
90,Wahpeton,US,46.2652,-96.6059,57.02,71,1,6.91,clear sky
91,Margate,GB,51.3813,1.3862,57.31,83,99,1.99,overcast clouds
92,Phan Thiet,VN,10.9333,108.1,80.89,83,100,3.2,overcast clouds
93,Tiksi,RU,71.6872,128.8694,10.04,90,99,10.4,overcast clouds
94,Carmo Do Paranaiba,BR,-19.0008,-46.3161,68.72,81,31,1.5,scattered clouds
95,Yerofey Pavlovich,RU,53.9667,121.9667,26.28,38,23,8.03,few clouds
96,Mehamn,NO,71.0357,27.8492,34.63,82,100,27.87,light snow
97,Vestmannaeyjar,IS,63.4427,-20.2734,44.28,87,100,40.4,moderate rain
98,Esperance,AU,-33.8667,121.9,66.31,69,0,7.72,clear sky
99,Mazatan,MX,14.8667,-92.45,73.47,100,75,5.75,broken clouds
100,Yeppoon,AU,-23.1333,150.7333,83.98,49,0,13.8,clear sky
101,Aklavik,CA,68.2191,-135.0107,23.83,81,21,8.97,few clouds
102,Chara,RU,56.9064,118.2631,19.22,65,80,2.68,broken clouds
103,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,93,75,4.61,broken clouds
104,Axim,GH,4.8699,-2.2405,77.05,89,74,6.22,moderate rain
105,Port Hardy,CA,50.6996,-127.4199,48.38,71,20,11.5,few clouds
106,Birigui,BR,-21.2886,-50.34,75.92,75,85,8.37,overcast clouds
107,Upernavik,GL,72.7868,-56.1549,22.41,51,45,6.8,scattered clouds
108,Port Elizabeth,ZA,-33.918,25.5701,51.1,93,75,9.22,broken clouds
109,Meulaboh,ID,4.1363,96.1285,77.38,83,97,3.42,moderate rain
110,East London,ZA,-33.0153,27.9116,54.99,66,41,11.97,scattered clouds
111,Beloha,MG,-25.1667,45.05,69.08,92,0,3.83,clear sky
112,Taree,AU,-31.9,152.4667,77.05,46,100,6.91,overcast clouds
113,Camacha,PT,33.0833,-16.3333,67.42,83,40,4.61,scattered clouds
114,Kodiak,US,57.79,-152.4072,43.29,96,100,30.96,moderate rain
115,Oeiras Do Para,BR,-2.0031,-49.8544,76.15,90,88,3.85,overcast clouds
